                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5456,                 1.4153,                 1.4668,                 1.7169,                  1.765,                 1.4211,                0.36709,                0.23529,                0.17632,                0.05839,                 2.2497,                 7.9813,                 2.2249,                 2.3281,                 4.4762,                 2.0043,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.5401,                 1.4221,                 1.4693,                 1.7756,                 1.7958,                 1.4355,                0.26114,                0.23183,                0.12849,                0.04357,                 2.1892,                 8.1299,                 2.1998,                 2.3245,                   6.48,                 1.9796,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.5182,                 1.4128,                 1.4597,                 1.7534,                 1.7329,                 1.4294,                0.34038,                0.28028,                0.17465,                0.06715,                 2.1253,                 3.5364,                 2.0738,                 2.2437,                 3.1779,                 1.9449,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.5603,                 1.4678,                 1.4688,                  1.804,                 1.7736,                 1.4451,                0.25395,                0.37716,                0.21214,                0.08773,                 2.0407,                 4.4741,                 2.1217,                 2.2262,                 4.1023,                 2.0263,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.5597,                 1.4241,                 1.4528,                 1.7635,                 1.7631,                 1.4174,                 0.3133,                0.31834,                 0.2222,                0.08898,                 2.1186,                 5.7703,                  2.108,                 2.2544,                  4.683,                 1.9547,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.5495,                  1.383,                 1.4433,                 1.7998,                 1.7294,                 1.4086,                0.28517,                  0.391,                 0.2097,                0.08208,                  2.073,                 4.9332,                  2.099,                  2.171,                 3.8229,                 1.9174,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.4919,                 1.3632,                 1.4369,                  1.709,                 1.6852,                 1.4141,                0.25908,                0.37716,                 0.2024,                0.07945,                  1.993,                 4.6906,                 1.9979,                 2.1722,                 3.5765,                 1.9103,              0.0018495,              0.0018495,              0.0018495
                     41,                 1.4778,                 1.3342,                  1.406,                 1.7248,                 1.6691,                 1.3989,                0.35992,                0.37716,                0.28632,                0.13011,                 1.8799,                 2.9646,                 1.9416,                  2.128,                 2.7829,                 1.8513,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.5427,                 1.3475,                 1.4576,                 1.7392,                 1.6574,                 1.4287,                0.32972,                0.34948,                0.24463,                0.09805,                 1.9669,                 3.2866,                   1.97,                 2.1343,                   3.02,                 1.8132,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.4953,                 1.3351,                 1.4307,                 1.7496,                 1.6586,                 1.4084,                0.30564,                0.37011,                   0.21,                0.08521,                  2.011,                 2.6213,                 1.9258,                  2.162,                 2.8456,                 1.7983,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.4724,                 1.3491,                 1.4045,                 1.6918,                 1.6792,                 1.3847,                0.38393,                0.38062,                0.27613,                 0.1057,                 2.0238,                 2.4458,                 1.9748,                  2.214,                 2.3556,                 1.8722,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.3842,                 1.2603,                   1.37,                 1.6115,                 1.5353,                 1.3508,                0.28545,                0.31488,                0.17919,                0.06288,                 2.2168,                  3.337,                 2.1342,                 2.2773,                 3.4222,                 1.9311,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.4131,                 1.2751,                 1.4146,                 1.6068,                 1.5566,                  1.388,                 0.2997,                0.35986,                0.21071,                0.07796,                 2.0591,                 3.9184,                 2.0502,                 2.2165,                 3.5369,                 1.9156,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.3684,                  1.222,                 1.3627,                 1.6148,                 1.5143,                 1.3672,                0.30957,                0.29758,                0.17495,                0.06669,                 2.2071,                 3.1256,                 2.2739,                 2.3421,                 3.0826,                 2.1763,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.3627,                 1.2162,                 1.3703,                  1.584,                 1.4978,                 1.3728,                 0.3687,                0.39446,                0.32399,                 0.1436,                 1.9877,                 2.7507,                  2.052,                 2.1933,                 2.6188,                   1.99,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.3981,                 1.2303,                 1.3727,                  1.653,                 1.5659,                 1.3679,                0.39056,                0.29066,                0.24417,                0.11131,                 1.9953,                 2.8307,                 2.0397,                  2.118,                 2.8607,                 1.8375,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.3618,                 1.1823,                 1.3598,                 1.6196,                 1.5084,                 1.3447,                0.40517,                0.38062,                0.29935,                0.12246,                 2.0567,                 2.7278,                  2.113,                 2.2212,                 2.9545,                 2.0259,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.3919,                 1.1934,                 1.3574,                 1.6339,                 1.5062,                 1.3418,                0.33929,                0.34602,                0.24725,                0.10379,                 2.0366,                  3.725,                 2.0626,                 2.1832,                 3.7852,                 1.9571,               0.001806,               0.001806,               0.001806
                     52,                 1.3445,                 1.1603,                  1.334,                 1.5802,                 1.4423,                 1.3215,                0.26773,                0.38408,                0.20647,                0.08066,                 2.0284,                 4.8906,                 2.0041,                 2.2544,                 4.2731,                 1.9594,               0.001802,               0.001802,               0.001802
                     53,                 1.2888,                 1.1806,                 1.3118,                 1.5148,                 1.4433,                 1.3219,                 0.2757,                 0.3564,                0.23725,                0.09315,                 1.9977,                 3.6749,                 2.0187,                 2.1625,                 3.2283,                 1.8761,               0.001798,               0.001798,               0.001798
                     54,                 1.3331,                 1.1266,                 1.3246,                 1.5892,                 1.3701,                 1.3298,                0.36454,                0.40138,                0.31105,                0.14542,                  1.854,                  2.096,                 1.8491,                 1.9964,                 2.3889,                  1.736,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.3484,                 1.1574,                 1.3038,                 1.6353,                 1.4275,                 1.3083,                 0.3695,                0.38754,                0.26327,                0.10849,                  1.956,                 2.2625,                 1.9629,                 2.0863,                 2.3176,                 1.8015,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.3035,                 1.1129,                 1.3114,                 1.5891,                 1.3889,                 1.3158,                0.40104,                0.39446,                0.30606,                 0.1367,                 1.9517,                 1.9589,                 1.9561,                 2.0743,                 2.3899,                 1.7833,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.3121,                 1.1494,                 1.2987,                 1.5596,                 1.4212,                 1.2924,                0.35149,                 0.3901,                0.28897,                0.12165,                 2.0252,                 2.2136,                 2.0022,                  2.129,                 2.5108,                  1.818,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.3009,                 1.1153,                 1.3097,                 1.5549,                 1.4053,                 1.3116,                0.39982,                0.44488,                0.35943,                0.17558,                 1.7601,                  1.765,                 1.7814,                 1.9753,                 2.1389,                 1.6939,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.2744,                 1.1457,                 1.2952,                 1.5249,                 1.4293,                  1.295,                0.41915,                0.47751,                0.37145,                0.15837,                  1.909,                 1.9099,                 1.9017,                 2.0366,                 2.1523,                 1.7594,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.2449,                  1.122,                 1.3053,                 1.5073,                 1.3923,                 1.3299,                0.42889,                0.45329,                0.35323,                0.16216,                 1.9266,                 1.9439,                 1.9496,                 2.0311,                 2.1217,                 1.7545,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.2774,                 1.1096,                 1.2804,                 1.5385,                 1.4268,                 1.2763,                0.48014,                0.44743,                0.36763,                0.16363,                 1.8521,                 2.2131,                 1.9255,                 2.0578,                 2.2212,                 1.8191,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.3126,                 1.1068,                 1.3055,                 1.5761,                 1.3985,                 1.3113,                  0.399,                0.43877,                0.32503,                0.13501,                 1.9571,                 2.1865,                 1.9294,                 2.0248,                 2.7266,                 1.7344,              0.0017624,              0.0017624,              0.0017624
                     63,                 1.2382,                 1.0887,                 1.2718,                 1.4708,                 1.3469,                 1.2772,                 0.5198,                0.43599,                 0.3938,                0.17243,                 1.8788,                   1.95,                  1.939,                 2.0345,                 2.1664,                 1.8273,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.1916,                 1.0149,                  1.227,                  1.467,                 1.2833,                 1.2364,                0.39686,                0.40484,                0.31719,                0.13316,                 2.0062,                 2.5036,                 2.0577,                   2.12,                 2.8018,                 1.8708,              0.0017545,              0.0017545,              0.0017545
                     65,                 1.2188,                 1.0186,                 1.2338,                 1.5091,                  1.266,                 1.2514,                0.38359,                  0.391,                0.30241,                0.13474,                 2.0288,                 1.9844,                 2.0783,                 2.1761,                 2.3226,                 1.8986,              0.0017505,              0.0017505,              0.0017505
                     66,                 1.1725,                 0.9623,                 1.2308,                 1.4445,                 1.2196,                 1.2368,                0.39699,                0.46021,                0.32227,                0.13569,                 2.1518,                 1.8895,                 2.1927,                 2.2693,                 2.2264,                 2.0072,              0.0017466,              0.0017466,              0.0017466
                     67,                 1.1921,                0.97032,                 1.2291,                 1.4817,                 1.2626,                 1.2386,                0.47055,                0.42132,                0.37001,                0.15996,                 1.9262,                 2.0216,                 1.9733,                 2.0679,                 2.3029,                 1.8272,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.1806,                0.93437,                 1.2368,                 1.4368,                 1.1504,                 1.2442,                0.41375,                0.41522,                0.33798,                0.13601,                 1.9098,                 2.0561,                 1.9255,                 2.0449,                 2.2758,                 1.7909,              0.0017386,              0.0017386,              0.0017386
                     69,                  1.272,                0.97829,                 1.2651,                 1.5554,                 1.2326,                 1.2588,                0.47529,                 0.3737,                0.35561,                0.15022,                 1.9458,                 1.7283,                 1.9699,                   2.06,                 2.0511,                 1.8164,              0.0017347,              0.0017347,              0.0017347
                     70,                 1.1687,                0.99892,                 1.2263,                   1.41,                 1.2193,                 1.2418,                0.38834,                0.44157,                0.30633,                0.12801,                 1.9057,                 2.1749,                 1.9075,                 2.0467,                 2.4358,                  1.769,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.1842,                0.97898,                 1.2315,                 1.4653,                  1.257,                 1.2467,                0.44587,                0.43599,                0.35592,                0.16145,                 1.8315,                 1.9702,                 1.8525,                 1.9713,                 2.0719,                 1.7081,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.1573,                0.96454,                 1.2338,                 1.4091,                 1.2471,                 1.2384,                 0.4789,                0.45329,                0.34374,                0.14253,                 1.9824,                 1.9809,                 1.9971,                 2.0747,                 2.2435,                   1.83,              0.0017228,              0.0017228,              0.0017228
                     73,                  1.152,                0.91816,                 1.2029,                  1.381,                 1.1506,                 1.2063,                0.48238,                0.40484,                0.34018,                0.13975,                 1.9989,                 1.9928,                 2.0342,                  2.135,                 2.3125,                 1.8805,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.1325,                0.95406,                 1.1858,                 1.4096,                 1.2161,                 1.1971,                0.44619,                0.42561,                0.34478,                0.14376,                 1.9609,                 2.0091,                 2.0004,                 2.1684,                  2.186,                 1.8749,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.1338,                0.93027,                 1.2004,                 1.4212,                 1.1721,                 1.2237,                0.45711,                0.44637,                0.34653,                0.14745,                 1.9555,                 1.8726,                  1.928,                 2.0822,                   2.18,                  1.769,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.1002,                0.90327,                 1.1929,                 1.3266,                 1.0995,                 1.2055,                0.44886,                0.44808,                 0.3434,                0.14417,                 1.9792,                 1.8523,                 2.0544,                 2.0965,                 2.1564,                 1.8743,               0.001707,               0.001707,               0.001707
                     77,                 1.1372,                0.88888,                 1.1928,                 1.3977,                 1.1381,                 1.2022,                0.29461,                0.36678,                0.20537,                0.07779,                 2.0997,                 2.2757,                  2.111,                 2.2644,                 2.6332,                 1.9635,               0.001703,               0.001703,               0.001703
                     78,                 1.0672,                0.86149,                 1.1524,                 1.3659,                 1.0919,                 1.1754,                0.51011,                0.44677,                0.37791,                0.16889,                 1.8443,                 1.6453,                 1.9372,                 1.9973,                 2.0503,                 1.8062,               0.001699,               0.001699,               0.001699
                     79,                 1.1013,                0.90024,                  1.204,                 1.3857,                  1.119,                 1.2218,                0.43498,                0.42561,                0.32747,                0.13517,                 1.9993,                 1.8124,                 2.1229,                 2.1593,                 2.2548,                 1.9533,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.0836,                0.87457,                  1.185,                  1.338,                 1.1077,                 1.1839,                0.44624,                0.43945,                0.35079,                0.15086,                 1.8578,                 2.0778,                 1.9736,                 2.0063,                 2.4173,                 1.8372,              0.0016911,              0.0016911,              0.0016911
                     81,                 1.1135,                0.88805,                 1.1753,                 1.3965,                 1.1405,                 1.1952,                0.48975,                0.47059,                0.38397,                 0.1583,                 1.9125,                  2.034,                   1.93,                 2.0491,                 2.2207,                 1.8153,              0.0016872,              0.0016872,              0.0016872
                     82,                 1.1274,                0.88133,                 1.1888,                 1.3846,                 1.1019,                 1.1967,                0.43157,                0.48602,                0.37132,                0.17665,                  1.856,                 1.6316,                 1.9351,                 1.9857,                 2.1606,                 1.7713,              0.0016832,              0.0016832,              0.0016832
                     83,                 1.0809,                0.84957,                 1.1742,                 1.3243,                 1.0578,                 1.1754,                0.47019,                0.47906,                0.39628,                 0.1852,                 1.7927,                 1.8333,                 1.8223,                 1.9716,                 2.3079,                 1.7289,              0.0016792,              0.0016792,              0.0016792
                     84,                 1.0729,                0.85249,                 1.1529,                  1.331,                 1.0716,                 1.1829,                0.39003,                0.38498,                0.27514,                0.12252,                      2,                 2.0227,                  2.037,                 2.0396,                 2.5084,                  1.846,              0.0016753,              0.0016753,              0.0016753
                     85,                 1.0613,                0.82459,                 1.1688,                 1.3049,                 1.0296,                 1.1902,                0.43091,                0.51557,                0.38126,                0.16682,                 1.8462,                 1.6931,                 1.8754,                 1.9498,                  2.214,                 1.7293,              0.0016713,              0.0016713,              0.0016713
                     86,                  1.024,                0.79981,                 1.1279,                 1.2874,                 1.0149,                 1.1482,                0.44287,                0.55363,                0.37547,                0.17223,                 1.8439,                 1.7573,                 1.8924,                 2.0064,                 2.3942,                 1.7342,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.0102,                0.79849,                 1.1327,                 1.2731,                 1.0134,                 1.1532,                0.41752,                0.48443,                0.35497,                0.16454,                 1.8865,                 1.9385,                 1.9644,                 1.9774,                 2.4707,                 1.7399,              0.0016634,              0.0016634,              0.0016634
                     88,                0.99989,                0.79707,                 1.1421,                 1.2752,                0.97981,                 1.1624,                0.51684,                0.43945,                0.42348,                0.20184,                 1.7954,                 1.5872,                 1.8564,                 1.9389,                 2.1258,                 1.7496,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.0451,                0.83102,                 1.1499,                 1.2999,                  1.023,                 1.1646,                0.47497,                0.45675,                0.39397,                0.17703,                 1.8799,                 1.6822,                 1.9314,                 1.9921,                 2.0916,                 1.7805,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.0614,                0.81821,                 1.1608,                 1.3225,                0.98986,                 1.1785,                0.51728,                0.44291,                0.41179,                0.19016,                 1.8139,                  2.047,                 1.9609,                 1.9956,                 2.2378,                 1.7824,              0.0016515,              0.0016515,              0.0016515
                     91,                  1.038,                0.80225,                 1.1263,                 1.3081,                 1.0102,                 1.1518,                 0.4649,                0.44983,                0.38568,                0.18456,                 1.8448,                 2.1033,                 1.9391,                 2.0027,                 2.2623,                 1.7913,              0.0016476,              0.0016476,              0.0016476
                     92,                 1.0107,                0.78815,                 1.1445,                 1.2607,                0.98037,                 1.1642,                0.50708,                0.35597,                0.35442,                0.16436,                 1.8783,                  1.894,                 1.9779,                 2.0326,                 2.2439,                 1.7929,              0.0016436,              0.0016436,              0.0016436
                     93,                 0.9865,                0.78727,                 1.1184,                 1.2261,                0.99446,                 1.1453,                0.48872,                0.42215,                 0.3761,                0.16745,                 1.9053,                 2.0878,                 2.0482,                 2.0205,                  2.258,                 1.8264,              0.0016396,              0.0016396,              0.0016396
                     94,                   1.01,                 0.7861,                 1.1346,                 1.2535,                0.97527,                 1.1591,                  0.489,                 0.3841,                0.34245,                0.13825,                 2.0021,                 2.0246,                 2.1709,                 2.1171,                 2.1814,                 1.9205,              0.0016357,              0.0016357,              0.0016357
                     95,                0.98376,                0.75726,                 1.1088,                 1.2621,                0.96116,                 1.1297,                0.43541,                0.41361,                0.33542,                0.12768,                 2.0494,                    1.9,                 2.1192,                 2.2533,                 2.2665,                 1.9839,              0.0016317,              0.0016317,              0.0016317
                     96,                 0.9913,                0.76308,                 1.1281,                 1.2265,                 0.9021,                 1.1503,                0.48466,                0.40353,                0.32327,                0.13261,                 1.9894,                 1.9907,                 2.0895,                 2.1161,                 2.2872,                 1.8385,              0.0016278,              0.0016278,              0.0016278
