                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1927,                 2.3093,                 1.9184,                 2.2374,                 2.7823,                 1.7687,                0.15429,                0.12457,                0.08723,                0.03586,                0.06486,                 23.165,                0.06021,                0.06526,                  5.384,                0.05526,              0.0096832,              0.0096832,              0.0096832
                     35,                 2.1362,                 2.3455,                 1.8735,                 2.1851,                 2.7533,                 1.7131,                 0.2074,                0.12133,                0.10021,                0.03702,                 0.0665,                 18.343,                0.06072,                 0.0696,                  5.032,                0.05633,              0.0096733,              0.0096733,              0.0096733
                     36,                 2.1497,                  2.312,                    1.9,                 2.1438,                 2.7215,                 1.7421,                0.13589,                0.09689,                0.07289,                0.02319,                0.06853,                 3.2138,                0.06541,                0.06859,                 1.2317,                0.05862,              0.0096634,              0.0096634,              0.0096634
                     37,                 2.0814,                 2.2404,                 1.8328,                 2.1282,                 2.6656,                 1.6837,                 0.2135,                0.20415,                 0.1035,                0.03694,                0.06676,                 55.034,                0.06097,                0.06801,                 16.186,                 0.0557,              0.0096535,              0.0096535,              0.0096535
                     38,                 2.0627,                 2.3587,                 1.7927,                 2.0737,                 2.6955,                 1.6412,                0.18928,                0.17993,                0.10458,                0.04121,                0.06494,                  61.67,                0.05924,                0.06594,                 7.1345,                0.05365,              0.0096436,              0.0096436,              0.0096436
                     39,                 2.0795,                 2.3186,                 1.8453,                 2.1303,                 2.6943,                 1.7059,                0.18786,                0.20069,                0.10036,                0.04285,                0.06428,                  66.74,                0.05897,                  0.064,                 20.078,                 0.0523,              0.0096337,              0.0096337,              0.0096337
                     40,                 2.1064,                 2.2267,                  1.867,                 2.0981,                 2.6898,                 1.7085,                0.15401,                0.19528,                0.12036,                0.04605,                 0.0644,                 22.645,                0.05974,                0.06685,                 5.4409,                 0.0549,              0.0096238,              0.0096238,              0.0096238
                     41,                 2.0717,                 2.2374,                  1.808,                 2.1651,                 2.6297,                 1.6731,                0.19898,                0.23529,                0.11505,                0.04455,                0.07017,                 2.1562,                0.06443,                0.07022,                0.95923,                 0.0568,              0.0096139,              0.0096139,              0.0096139
                     42,                 2.1006,                 2.4751,                 1.8491,                 2.0965,                 2.7714,                 1.6827,                0.16685,                0.12457,                0.08653,                0.03169,                0.06755,                 8.1267,                0.06155,                0.06832,                 2.7279,                0.05682,               0.009604,               0.009604,               0.009604
                     43,                 1.9668,                 2.2239,                 1.7669,                 2.0803,                  2.633,                 1.6714,                0.31591,                0.20761,                0.17257,                0.06913,                0.06201,                 2.6049,                0.05888,                0.06466,                0.76155,                0.05476,              0.0095941,              0.0095941,              0.0095941
                     44,                 2.0356,                 2.1524,                 1.7665,                 2.0871,                 2.6317,                 1.6271,                0.29085,                0.16955,                0.10106,                0.03843,                0.06884,                 3.0797,                0.06422,                0.06857,                 1.0099,                0.05658,              0.0095842,              0.0095842,              0.0095842
                     45,                 2.0602,                 2.2099,                 1.8468,                 2.1072,                 2.6646,                 1.7391,                0.21008,                0.13495,                0.09279,                 0.0371,                0.06929,                 23.628,                0.06261,                0.06832,                 6.1266,                 0.0571,              0.0095743,              0.0095743,              0.0095743
                     46,                 2.0959,                 2.3621,                 1.8305,                 2.0723,                 2.6769,                 1.7022,                0.21212,                0.18685,                0.12309,                0.04912,                0.06393,                 55.059,                0.05895,                0.06555,                 14.054,                0.05417,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.9905,                 2.1655,                 1.7246,                 2.1037,                 2.5696,                 1.6445,                0.22553,                0.19377,                0.09947,                0.03885,                0.06449,                 30.057,                0.05986,                0.06797,                 5.7784,                0.05465,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.9935,                  2.043,                 1.8036,                 2.0607,                 2.5289,                  1.696,                0.23614,                0.20415,                 0.1386,                0.05882,                0.06411,                 6.1586,                0.05932,                0.06602,                 1.8794,                 0.0535,              0.0095446,              0.0095446,              0.0095446
                     49,                 2.0603,                 2.2107,                 1.7979,                  2.143,                 2.5851,                 1.6639,                0.25967,                0.22145,                0.14332,                0.05413,                0.06398,                 15.609,                0.05938,                0.06519,                 3.5962,                0.05425,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.9165,                 2.2394,                 1.6867,                 1.9729,                 2.5037,                 1.5637,                0.22485,                0.04498,                0.02705,                0.01031,                   0.07,                 2.1566,                0.06346,                 0.0703,                0.86994,                0.05619,              0.0095248,              0.0095248,              0.0095248
                     51,                 2.0071,                  2.137,                 1.7603,                 2.1155,                 2.6157,                  1.664,                 0.2939,                0.23529,                0.16692,                0.06845,                0.06363,                 14.033,                0.05783,                0.06566,                 3.2129,                0.05384,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.9619,                 2.0932,                  1.745,                 2.0389,                 2.4886,                 1.5995,                0.33818,                0.18685,                0.17054,                0.07421,                 0.0633,                0.31707,                0.06007,                0.06608,                0.24162,                0.05358,               0.009505,               0.009505,               0.009505
                     53,                 2.0243,                 2.3163,                 1.7975,                  2.057,                  2.594,                 1.6605,                0.26169,                0.18685,                0.14728,                0.05879,                0.06493,                 8.7595,                0.06006,                0.06667,                 2.2753,                0.05603,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.9873,                  2.003,                 1.7152,                 2.0063,                 2.4386,                 1.6029,                0.29195,                0.24913,                0.18221,                0.07455,                0.06411,                 3.5431,                0.05772,                0.06403,                 1.3004,                0.05136,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.9367,                 2.1089,                 1.7104,                 2.0017,                 2.4775,                 1.5913,                0.28026,                0.21828,                0.16802,                0.07234,                  0.063,                 3.9538,                0.05835,                0.06461,                  1.167,                0.05325,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.9417,                 2.0431,                 1.7629,                 2.0197,                 2.4826,                 1.6442,                0.24201,                0.17647,                0.15737,                0.06859,                0.06391,                 34.776,                0.05819,                0.06396,                 5.9569,                0.05237,              0.0094654,              0.0094654,              0.0094654
                     57,                 2.0185,                 2.0339,                 1.7593,                 2.0992,                 2.4797,                 1.6513,                0.29535,                 0.2872,                0.21151,                0.07842,                0.06565,                 4.9823,                0.05944,                0.06612,                  1.274,                0.05551,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.9645,                  2.217,                 1.7149,                 2.0334,                 2.4996,                 1.5921,                0.29983,                0.24746,                 0.1944,                0.08307,                0.06257,                 4.3713,                0.05848,                0.06463,                 1.3776,                0.05389,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.8873,                 1.9337,                 1.7041,                 1.9675,                 2.4383,                 1.6044,                 0.2846,                0.24913,                0.17504,                 0.0765,                0.06449,                0.99489,                0.05954,                0.06513,                0.24318,                0.05484,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.9677,                 1.9892,                 1.7273,                  2.028,                 2.4641,                 1.5987,                0.31764,                0.28832,                0.20992,                0.09235,                0.06216,                 3.1639,                0.05658,                0.06209,                0.87328,                0.05218,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.8975,                 1.9731,                 1.7485,                 1.9696,                 2.4306,                 1.6225,                0.29319,                0.23875,                0.16906,                0.08138,                0.06122,                 13.618,                0.05695,                 0.0642,                 2.5242,                0.05288,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.9207,                 1.9784,                 1.7217,                 2.0176,                 2.4223,                 1.5916,                0.29182,                0.22145,                0.18875,                0.08574,                0.06116,                 15.401,                0.05703,                0.06275,                 2.9354,                0.05216,               0.009406,               0.009406,               0.009406
                     63,                 1.8839,                 1.9663,                 1.6796,                 1.9523,                 2.2981,                 1.5655,                0.27361,                0.19031,                0.14348,                0.06017,                0.06253,                 43.459,                0.05809,                0.06451,                 9.8767,                0.05337,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.9202,                 2.0815,                  1.668,                 1.9649,                 2.4053,                 1.5486,                0.26603,                0.21799,                0.14932,                0.05792,                0.06288,                 4.0265,                0.05783,                0.06737,                 1.1191,                0.05428,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.8106,                 2.0689,                 1.6502,                  1.895,                 2.3774,                 1.5514,                0.35999,                0.28374,                0.24818,                0.10626,                0.06158,                  2.425,                0.05814,                0.06563,                0.83166,                0.05456,              0.0093763,              0.0093763,              0.0093763
                     66,                  1.908,                 1.9588,                 1.7151,                 1.9818,                 2.4245,                 1.6446,                0.31073,                 0.2872,                0.21108,                0.09128,                0.06076,                 9.2129,                 0.0569,                 0.0641,                 2.2847,                0.05343,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.8818,                 2.0241,                 1.7182,                 1.9722,                 2.4675,                 1.5986,                0.32153,                0.33452,                0.24192,                0.10779,                0.06027,                 11.507,                0.05711,                0.06426,                 2.8949,                 0.0549,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.8184,                 1.9391,                 1.6774,                 1.8701,                 2.3495,                 1.5657,                0.39614,                0.31142,                0.23771,                0.09886,                0.06137,                 6.8859,                0.05707,                0.06747,                 1.6668,                0.05589,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.8049,                 1.9592,                 1.6437,                 1.8805,                 2.3634,                 1.5686,                0.27714,                 0.2699,                0.18068,                0.07334,                0.06278,                0.15904,                0.05899,                0.06727,                0.11021,                0.05649,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.7933,                  1.928,                 1.5808,                  1.885,                 2.2787,                 1.5162,                0.24403,                0.21107,                0.12864,                0.05341,                0.06487,                 16.942,                0.05951,                0.06643,                 4.4357,                0.05505,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.9398,                  2.009,                 1.6762,                 2.0002,                 2.3234,                 1.5588,                0.33497,                0.31488,                0.25676,                0.11935,                0.06138,                 0.6632,                0.05597,                0.06483,                0.20481,                0.05338,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.9173,                  1.945,                 1.6876,                 2.0146,                 2.3413,                  1.588,                0.28875,                 0.3045,                0.21072,                0.08823,                0.06076,                 3.8648,                 0.0561,                0.06326,                0.86925,                0.05278,               0.009307,               0.009307,               0.009307
                     73,                 1.8036,                 1.8389,                 1.6263,                 1.9191,                  2.258,                 1.5553,                0.26636,                0.31834,                0.21196,                0.09432,                0.06167,                0.19109,                0.05695,                0.06421,                0.11801,                0.05348,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.8358,                 1.9568,                 1.6421,                 1.9652,                 2.2855,                 1.5723,                 0.3024,                0.28028,                0.19067,                0.08396,                0.06066,                 13.432,                0.05702,                 0.0631,                 4.3564,                0.05276,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.8293,                 1.9268,                 1.6186,                 1.9163,                 2.3065,                  1.523,                0.27217,                0.28856,                0.19107,                0.09366,                0.06229,                 31.883,                0.05781,                0.06403,                 9.0238,                0.05335,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.8034,                 1.8189,                 1.6305,                 1.9151,                 2.2295,                 1.5314,                0.29914,                 0.2872,                0.21304,                0.09368,                0.06248,                0.99295,                0.05777,                0.06631,                0.30626,                0.05468,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.8309,                 1.9544,                 1.6232,                  1.982,                 2.2105,                 1.5525,                0.30852,                0.34948,                0.24385,                0.11725,                0.06065,                 4.4414,                0.05578,                0.06198,                  1.465,                0.05159,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.7657,                 1.8149,                 1.6039,                 1.9166,                 2.1637,                 1.5436,                0.34369,                0.34256,                0.24922,                0.10309,                0.06114,                  5.089,                0.05647,                0.06426,                0.83897,                0.05287,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.8644,                 2.0396,                 1.6438,                 1.9645,                 2.3332,                 1.5567,                0.38352,                0.28846,                0.26678,                0.11143,                0.05936,                 5.6536,                0.05543,                0.06319,                0.83285,                0.05193,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.7881,                 1.8828,                  1.634,                 1.9066,                 2.2975,                 1.5573,                0.33356,                0.35294,                0.24381,                0.10746,                0.06173,                 26.733,                0.05783,                0.06557,                 2.5721,                0.05391,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.7699,                 1.7899,                 1.6464,                 1.9365,                 2.1923,                 1.5996,                0.35003,                 0.3056,                0.24529,                 0.1054,                0.06055,                 13.041,                0.05671,                0.06505,                 2.5313,                0.05353,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.8183,                 1.9469,                 1.6074,                 1.9193,                 2.3145,                 1.5395,                 0.3049,                0.30104,                0.19868,                0.08709,                0.06214,                  6.157,                0.05736,                0.06491,                 1.4072,                 0.0542,               0.009208,               0.009208,               0.009208
                     83,                 1.7594,                 1.8457,                 1.6084,                  1.876,                 2.1686,                 1.5325,                 0.3139,                0.28374,                0.21297,                0.09136,                 0.0605,                 10.057,                0.05628,                0.06327,                  2.523,                0.05182,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.7965,                 1.8783,                 1.5851,                 1.8275,                 2.1592,                 1.4908,                0.33257,                0.37024,                0.25759,                0.11617,                0.05837,                0.89717,                 0.0553,                 0.0635,                0.40362,                0.05218,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.7795,                 1.8657,                 1.6225,                 1.8981,                 2.1756,                  1.547,                0.33499,                0.35294,                0.26799,                0.11362,                0.05917,                  3.444,                0.05609,                0.06432,                0.63353,                0.05204,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.6915,                 1.7688,                 1.5286,                 1.8285,                 2.1012,                 1.4714,                0.33306,                0.32872,                0.24808,                0.11251,                0.05922,                  3.299,                0.05596,                 0.0625,                0.74588,                 0.0523,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.7862,                 1.8142,                 1.5783,                 1.9087,                 2.1117,                 1.4863,                0.31985,                0.31568,                0.24544,                0.11276,                0.05907,                 7.4132,                0.05535,                0.06494,                 1.9205,                0.05317,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.7363,                 1.7525,                 1.5743,                 1.9234,                 2.1373,                 1.5175,                0.39083,                0.33218,                0.27779,                0.12764,                 0.0582,                 1.7598,                0.05495,                0.06054,                0.40029,                0.05117,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.7094,                 1.6642,                 1.5639,                 1.8554,                 2.0492,                 1.4985,                0.33389,                0.31142,                0.27648,                0.12573,                0.05916,                 1.5801,                0.05586,                0.06123,                0.41907,                0.05183,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.7262,                 1.7814,                 1.5785,                 1.8593,                  2.141,                 1.4991,                0.31857,                0.32872,                0.22016,                0.09756,                0.05834,                 7.9433,                0.05521,                0.06115,                 1.8828,                0.05184,              0.0091288,              0.0091288,              0.0091288
                     91,                  1.687,                 1.7854,                  1.522,                  1.817,                 2.0477,                 1.4731,                 0.3251,                0.38408,                0.24566,                0.10878,                0.06108,                 2.0078,                0.05625,                0.06428,                0.72426,                0.05367,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.7257,                 1.8556,                 1.6119,                 1.8579,                 2.2244,                  1.564,                0.31643,                0.31142,                0.24737,                0.10667,                0.05876,                 2.0579,                0.05555,                0.06364,                0.62926,                0.05256,               0.009109,               0.009109,               0.009109
                     93,                  1.672,                 1.6938,                 1.5336,                 1.8366,                 2.0118,                 1.5001,                0.37042,                0.31488,                0.25855,                0.11278,                0.06006,                0.75004,                 0.0557,                0.06199,                0.21419,                0.05195,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.7571,                 1.7749,                 1.5826,                 1.8729,                 2.1294,                 1.5081,                0.36725,                0.31834,                0.26269,                0.11485,                 0.0596,                 23.165,                0.05577,                0.06342,                  4.142,                 0.0523,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.6868,                 1.7497,                 1.5633,                 1.8628,                 2.1247,                 1.5239,                0.33485,                0.29066,                0.23644,                0.11596,                0.05732,                 10.756,                0.05367,                0.06357,                 2.7262,                0.05221,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.6435,                  1.728,                 1.5461,                 1.7825,                 2.0816,                 1.4687,                0.41369,                0.34425,                0.28895,                0.13324,                0.05796,                 6.6767,                0.05497,                0.06293,                 1.6837,                0.05223,              0.0090694,              0.0090694,              0.0090694
                     97,                  1.742,                  1.772,                 1.5709,                 1.9192,                 2.1405,                 1.5252,                0.40976,                 0.3564,                0.30665,                0.14206,                0.05937,                 10.852,                0.05603,                0.06244,                 2.4391,                0.05367,              0.0090595,              0.0090595,              0.0090595
                     98,                 1.7607,                 1.7559,                 1.5733,                 1.8771,                 2.1372,                 1.5055,                0.37165,                0.34602,                0.28887,                0.13146,                0.05735,                 1.8304,                0.05358,                 0.0625,                0.47363,                0.05263,              0.0090496,              0.0090496,              0.0090496
                     99,                 1.7248,                 1.8347,                 1.5773,                 1.8846,                  2.108,                 1.5246,                0.43682,                0.33218,                0.30118,                0.13736,                0.05816,                0.55966,                0.05454,                0.06229,                0.17328,                0.05169,              0.0090397,              0.0090397,              0.0090397
