                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.4699,                 1.2177,                 1.2966,                 1.6899,                 1.5033,                   1.27,                0.22816,                0.25606,                0.14205,                0.05519,                 2.2795,                 7.3791,                 2.2857,                 2.4484,                 6.5121,                 2.1429,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.4318,                 1.2492,                 1.2994,                 1.6959,                 1.4986,                 1.2903,                0.15073,                0.15571,                0.07748,                0.03265,                 2.6377,                 8.2062,                 2.7661,                 2.6524,                 7.2867,                 2.3409,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.4014,                  1.229,                 1.2804,                  1.648,                 1.4869,                 1.2714,                0.22064,                0.24567,                0.15207,                0.06012,                 2.4153,                  3.886,                 2.3192,                 2.4759,                 4.2507,                 2.1268,               0.001806,               0.001806,               0.001806
                     52,                  1.399,                 1.1697,                 1.2583,                 1.6547,                 1.4854,                 1.2485,                0.35552,                0.24567,                0.19219,                  0.077,                 2.3345,                 4.1006,                 2.2285,                  2.432,                 3.8815,                 2.0418,               0.001802,               0.001802,               0.001802
                     53,                 1.3852,                 1.1405,                 1.2856,                 1.6224,                 1.4501,                  1.276,                0.36122,                0.27786,                0.21034,                0.08381,                 2.3436,                 3.2854,                 2.3175,                 2.3976,                 3.2078,                 2.0698,               0.001798,               0.001798,               0.001798
                     54,                 1.3977,                 1.1261,                 1.2683,                 1.6607,                 1.4455,                 1.2586,                0.27845,                0.21453,                0.15444,                0.05459,                 2.5246,                 3.5816,                 2.3418,                 2.6444,                 4.2498,                 2.1447,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.3682,                  1.151,                 1.2487,                 1.6267,                 1.4261,                 1.2614,                0.31916,                0.20069,                0.14992,                0.05232,                  2.682,                 3.4105,                  2.437,                 2.7923,                 3.4077,                  2.194,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.3506,                 1.1494,                 1.2446,                 1.6611,                 1.4589,                 1.2562,                0.38921,                0.20069,                0.17005,                0.07457,                 2.4503,                 3.1518,                 2.1899,                 2.4537,                 3.4488,                 1.9669,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.3212,                 1.1118,                 1.2307,                 1.5181,                 1.3921,                 1.2183,                0.34462,                0.21799,                0.17248,                0.07008,                 2.5329,                 3.1252,                 2.1705,                 2.4882,                 3.2759,                 1.9503,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.3241,                 1.0964,                 1.2174,                 1.5433,                 1.3553,                 1.2065,                 0.2967,                0.34948,                0.21505,                0.08626,                 2.3519,                 2.9357,                 2.1404,                 2.3357,                 3.2536,                 1.8581,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.3183,                  1.046,                 1.2105,                 1.5764,                 1.2882,                 1.2148,                0.36909,                0.30796,                0.25168,                0.10822,                 2.1796,                 3.6298,                  2.124,                 2.3704,                 3.1962,                 2.0555,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.2889,                 1.0714,                 1.2061,                 1.5681,                 1.3029,                 1.2209,                0.47513,                 0.2699,                0.27021,                0.11409,                 2.1339,                 2.6069,                 2.0042,                 2.2693,                 2.8547,                 1.8477,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.2609,                 1.0224,                 1.1849,                 1.5616,                 1.2702,                 1.1893,                0.32872,                0.30669,                0.21859,                0.08513,                 2.1611,                 4.5763,                 2.1081,                 2.3288,                 4.3172,                  2.022,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.2606,                0.99145,                 1.1776,                 1.5531,                 1.2513,                 1.1775,                 0.2758,                0.29758,                0.16835,                0.07572,                 2.2031,                  4.862,                 2.1827,                  2.264,                 3.9044,                 1.9732,              0.0017624,              0.0017624,              0.0017624
                     63,                 1.2519,                0.98498,                 1.1674,                 1.5408,                 1.2509,                 1.1703,                0.34655,                0.28374,                0.20614,                0.08852,                 2.1795,                 4.9915,                  2.059,                 2.3017,                 3.9871,                 1.9106,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.2479,                 1.0099,                  1.188,                 1.5223,                  1.233,                 1.2105,                0.33924,                0.31142,                0.23072,                0.09032,                 2.2252,                  3.382,                 2.1068,                 2.3891,                 3.1843,                 2.0484,              0.0017545,              0.0017545,              0.0017545
                     65,                 1.2264,                 0.9989,                 1.1614,                 1.4928,                 1.2412,                 1.1815,                0.36354,                0.25952,                0.20564,                0.07974,                  2.316,                  3.144,                 2.1099,                  2.427,                 3.2668,                 1.9627,              0.0017505,              0.0017505,              0.0017505
